,title,company,skills
53,استخدام توسعه‌دهنده PHP Back-end,راهکارهای فناوری اطلاعات جهت پرداز,"['PHP', 'MySQL', 'Git', 'OOP']"
54,استخدام توسعه‌دهنده (Front-end (React,مسیرهوشمند یکپارچه,"['JavaScript', 'React', 'API', 'Webpack']"
55,استخدام برنامه‌نویس Front-end,شرکت مهندسی نرم افزار ترازپویش,"['JavaScript', 'React', 'jQuery', 'HTML5', 'CSS3']"
56,استخدام برنامه‌نویس unity,هوشمند سازان هستی,"['C#', 'Unity2D', 'Android', 'iOS', 'Hybrid Mobile App']"
57,استخدام برنامه‌نویس C#,هوشمند سازان هستی,"['C#', 'HTML5', '.NET Core']"
58,استخدام برنامه‌نویس ReactJS,هوشمند سازان هستی,"['JavaScript', 'React', 'HTML', 'CSS', 'Web Frontend']"
59,استخدام کارآموز دیجیتال مارکتینگ,Goalearn,['SEO']
60,استخدام کارآموز منتورینگ دیتا ساینس,Goalearn,['Python']
61,استخدام کارآموز منتورینگ برنامه‌نویسی فرانت اند,Goalearn,['HTML']
62,استخدام کارآموز منتورینگ برنامه‌نویسی بک اند,Goalearn,['PHP']
63,استخدام کارآموز منتورینگ تحلیل‌گر تجربه کاربر,Goalearn,['Figma']
64,استخدام کارشناس توسعه نرم افزار Java,پرداخت الکترونیک پاسارگاد,['Java']
65,استخدام منتور دیجیتال مارکتینگ,Goalearn,"['WordPress', 'Google Sheets', 'Power BI', 'SEO']"
66,استخدام Full-Stack Developer,اپلای جرمنی,"['Laravel', 'Nuxt.js', 'MySQL', 'Vue.js', 'Socket.IO']"
67,استخدام برنامه‌نویس ++C,مهندسی ارتباطی پیام پرداز,"['C++', 'cmake', 'Linux', 'Git']"
68,استخدام برنامه‌نویس جاوا (Back-end),توسعه فناوری اطلاعات آگین,"['Spring', 'Database', 'Java', 'Oracle', 'Hibernate']"
69,استخدام برنامه‌نویس پایتون (Django),مهندسی ارتباطی پیام پرداز,"['Python', 'Django', 'Linux', 'Networking']"
70,استخدام برنامه‌نویس Front-end وب,مهندسی ارتباطی پیام پرداز,"['React', 'Vue.js', 'JavaScript', 'HTML5', 'CSS3']"
71,استخدام برنامه‌نویس Back-end,مهندسی ارتباطی پیام پرداز,"['REST', 'Go', 'Linux', 'Git', 'Microservices']"
72,استخدام data warehouse admin,پرداخت الکترونیک پاسارگاد,"['SQL', 'Backup']"
73,استخدام React Developer,پرداخت الکترونیک پاسارگاد,"['React', 'JavaScript', 'React JSX']"
74,استخدام Front-end Developer,پرداخت الکترونیک پاسارگاد,"['React', 'JavaScript', 'Vue.js', 'Unit Testing', 'Vuex']"
75,استخدام Java Developer,پرداخت الکترونیک پاسارگاد,['Java']
76,استخدام برنامه‌نویس iOS,پرداخت الکترونیک پاسارگاد,['iOS']
77,استخدام مدیر سیستم (Linux Administrator),توسعه زیر ساخت مانا مهام,"['Linux', 'VMware', 'Zabbix']"
78,استخدام برنامه‌نویس Java,پردازش الکترونیک راشد سامانه,"['Java', 'Jira', 'Scrum']"
79,استخدام برنامه‌نویس وب (PHP - React) - اصفهان,مهندسی ایده بنیان ویرا,"['PHP', 'React', 'JavaScript']"
80,استخدام مهندس نرم افزار,Medi-Tech,"['C++', 'C', 'Linux', 'OpenCV', 'GStreamer']"
81,استخدام برنامه‌نویس Full-Stack وب و ویندوز,شركت ايران خودرو,"['C#', 'CSS', 'SQL Server', 'ASP.NET MVC', 'Entity Framework']"
82,استخدام کارآموز بوت‌کمپ Node.js,مپصا اچ آر,"['JavaScript', 'Node.js']"
83,استخدام برنامه‌نویس (Front-end (Angular (رشت),NilaSoft,"['Angular', 'JavaScript', 'HTML', 'CSS', 'TypeScript']"
84,استخدام Remote Senior React Developer,Pragmateam,"['React', 'TypeScript', 'JavaScript', 'Next.js', 'Tailwind CSS']"
85,استخدام پشتیبان / توسعه‌دهنده Back-end,کالاوییو,"['C#', 'PHP', 'MySQL', 'ASP.NET']"
86,استخدام Software Architect / Tech Lead,Raika Research,"['C#', 'DDD Repositories', 'ASP.NET MVC', 'Agile']"
87,استخدام fron-end Developer,Fawan,"['JavaScript', 'React', 'HTML', 'CSS', 'Vue.js']"
88,استخدام Front-end Developer (Junior| Internship),شاپینو,"['Vue.js', 'Svelte']"
89,استخدام توسعه‌دهنده موبایل React Native,شرکت کاروان ایرانیان نواندیش (کاینو),"['React Native', 'JavaScript', 'TypeScript']"
90,استخدام DevOps Engineer (رشت),NilaSoft,"['Linux', 'Docker', 'Networking', 'Web Server', 'DevOps']"
91,استخدام Back-end Developer,آواکتان,"['JavaScript', 'Node.js', 'Next.js']"
92,استخدام کارآموز IT,مدیریت ثروت پایا,"['Excel', 'VMware']"
93,استخدام توسعه‌دهنده Back-end,هویتا,"['Java', 'Spring Boot', 'Hibernate', 'REST', 'Pki']"
